GEO_ID,GEO_ID_F,NAME,NAICS2017,NAICS2017_F,INDLEVEL,NAICS2017_LABEL,INDGROUP,SECTOR,SUBSECTOR,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,EMPSZFI,EMPSZFI_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ,1 person,2018,958304,66.7,380799856,60.1,1823684,63.3,78244908,63.5,0.4,0.2,1.3,0.6,0.7,0.3,1,0.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,455700,31.7,234671424,37.1,1004494,34.9,41935708,34,0.9,0.2,1.4,0.6,1.1,0.3,1.7,0.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,11073,0.8,8951743,1.4,26146,0.9,1331408,1.1,4.3,0,10.1,0.1,5,0,6.5,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ03,11 or more people,2018,6423,0.4,5475937,0.9,13822,0.5,1127843,0.9,4.8,0,17.1,0.2,5.1,0,18.9,0.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,5576,0.4,3433396,0.5,12743,0.4,575414,0.5,8.1,0,12.8,0.1,7.8,0,9.5,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BY,Total reporting,2018,1437076,100,633332357,100,2880889,100,123215280,100,0.4,0,0.4,0,0.4,0,0.7,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BZ,Item not reported,2018,62658,X,27431809,X,123601,X,5190047,X,2.1,X,6.5,X,2.3,X,5.7,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,A1,All firms,2018,948936,X,1071154479,X,6265576,X,249456413,X,0.5,X,1,X,0.6,X,1.1,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BQ,1 person,2018,273932,54.1,281578956,48.8,1793174,53.6,71498964,51.3,1,0.4,1.6,0.8,1,0.4,1.8,0.7
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,217526,42.9,265950579,46.1,1451246,43.4,61783438,44.3,0.9,0.4,2.4,0.9,1,0.4,1.8,0.7
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,8824,1.7,15507579,2.7,58332,1.7,3514067,2.5,5.1,0.1,6.2,0.2,5,0.1,6.9,0.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BQ03,11 or more people,2018,3731,0.7,10758273,1.9,25110,0.8,1724113,1.2,7.2,0.1,42.3,0.8,7.6,0.1,10.4,0.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,2489,0.5,3673470,0.6,16575,0.5,933209,0.7,14.3,0.1,13.6,0.1,14.1,0.1,12.4,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BY,Total reporting,2018,506503,100,577468857,100,3344437,100,139453791,100,0.5,0,1.1,0,0.5,0,0.9,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BZ,Item not reported,2018,20633,X,26388926,X,137975,X,5759364,X,4.1,X,4.6,X,3.8,X,6.2,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,A1,All firms,2018,611926,X,1397607709,X,8242749,X,335750963,X,0.8,X,1.8,X,0.8,X,0.8,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BQ,1 person,2018,146009,45.9,319686715,42.8,1921926,45.1,78372380,43.2,1.6,0.6,3.8,1.2,1.7,0.7,1.7,0.7
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,155332,48.8,358912953,48.1,2103216,49.3,87249283,48.1,1.4,0.6,1.8,1.1,1.4,0.7,1.3,0.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,9959,3.1,37347557,5,139694,3.3,8317515,4.6,5.7,0.2,10.7,0.5,5.2,0.2,6.9,0.3
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BQ03,11 or more people,2018,4190,1.3,19776591,2.6,59723,1.4,5128638,2.8,7.7,0.2,10.3,0.8,7.8,0.2,12.7,0.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,2958,0.9,10905983,1.5,40458,0.9,2354286,1.3,8.3,0.1,14.1,0.4,10,0.1,7.8,0.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BY,Total reporting,2018,318448,100,746629800,100,4265018,100,181422103,100,0.6,0,1.8,0,0.6,0,0.7,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,630,Firms with 10 to 19 employees,B01,OWNRNUM,BZ,Item not reported,2018,13603,X,37660833,X,186964,X,8346500,X,3.8,X,7,X,3.5,X,6.1,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,A1,All firms,2018,402704,X,2421677332,X,12161051,X,526534406,X,1.3,X,5,X,1.3,X,1.4,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BQ,1 person,2018,70393,37.3,365617981,32.9,2079867,36.9,82243185,33.6,1.8,0.6,3.4,1.8,1.8,0.6,2.9,1.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,98041,52,577505842,52,2920009,51.8,121230691,49.6,1.6,0.8,4.9,2.4,1.7,0.8,2,1.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,11419,6.1,76560762,6.9,360858,6.4,20104415,8.2,4.6,0.3,7.9,0.6,4.4,0.3,4.8,0.4
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BQ03,11 or more people,2018,5753,3,56740919,5.1,180183,3.2,14860774,6.1,5.9,0.6,9.7,2.5,7.4,0.6,10.9,1.3
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,3026,1.6,34517955,3.1,92409,1.6,6048964,2.5,6.6,0.3,19.7,1.2,6.6,0.3,12.7,0.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BY,Total reporting,2018,188632,100,1110943459,100,5633327,100,244488029,100,1.1,0,3.8,0,1.2,0,1.2,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,641,Firms with 20 to 49 employees,B01,OWNRNUM,BZ,Item not reported,2018,10379,X,93180706,X,318511,X,17607826,X,4,X,9.7,X,4.7,X,5.4,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,A1,All firms,2018,124334,X,2212008509,X,8533853,X,406406856,X,2.5,X,7.5,X,2.4,X,2.8,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BQ,1 person,2018,15955,33.7,233304574,27.3,1085550,33.7,42262691,28.8,3.3,1.5,8.4,3.2,3.7,1.6,4.5,2.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,22037,46.5,345449591,40.4,1469869,45.7,58710625,40,4.6,2.1,8.4,4.9,4.9,2.2,5.1,3.4
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,4191,8.8,102718029,12,290955,9,14590170,9.9,9.4,0.8,18.8,2.4,9.4,0.8,11.2,1.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BQ03,11 or more people,2018,3645,7.7,118422587,13.9,258993,8,23962343,16.3,6.8,1.8,23.7,4.5,7.1,1.9,14,3.9
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,1563,3.3,54718647,6.4,114498,3.6,7216509,4.9,13.3,1.1,38.5,4.2,12.9,1.1,20.3,2.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BY,Total reporting,2018,47391,100,854613428,100,3219865,100,146742339,100,2.4,0,7.3,0,2.4,0,3,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,642,Firms with 50 to 99 employees,B01,OWNRNUM,BZ,Item not reported,2018,4245,X,121101539,X,300015,X,20578130,X,9.9,X,18.1,X,10.4,X,14.4,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,A1,All firms,2018,71081,X,3208386734,X,10657260,X,550771515,X,3.7,X,6.6,X,3.6,X,4.5,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BQ,1 person,2018,5653,27.2,192492767,19.9,798694,26.2,31773434,20.1,5.8,3.2,12.9,5.5,6.3,3.3,6.3,4.4
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,7922,38.2,345318447,35.8,1127815,36.9,48428363,30.7,5.2,4.7,8.4,10.3,5.2,4.9,6,8.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,1672,8.1,67642192,7,244540,8,12298476,7.8,11.9,1.1,19,1.7,13.6,1.2,10.4,1.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BQ03,11 or more people,2018,3861,18.6,211548050,21.9,623319,20.4,49083508,31.1,6.3,3.9,8.6,8.9,6.8,4,7.4,5.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,1641,7.9,148307599,15.4,258006,8.5,16231984,10.3,11.6,3.6,44.5,8.1,11.7,3.9,11.7,7
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BY,Total reporting,2018,20747,100,965309056,100,3052373,100,157815766,100,3.5,0,6.7,0,3.8,0,3.5,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,651,Firms with 100 to 249 employees,B01,OWNRNUM,BZ,Item not reported,2018,3639,X,333050384,X,545767,X,40548121,X,10.5,X,17.7,X,11.6,X,10.3,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,A1,All firms,2018,21488,X,2178757220,X,7491988,X,398130293,X,4.4,X,7.8,X,4.4,X,7,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BQ,1 person,2018,986,17.4,79931374,11.9,333313,17.1,12911944,11.5,16.2,4.3,19.3,3.8,16.2,4.3,15.1,3.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,1539,27.2,130136510,19.4,530421,27.2,17771192,15.8,18.4,9.4,31.8,14.6,20.2,10.1,20.1,10.7
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,349,6.2,51556082,7.7,121348,6.2,6028712,5.4,25.6,2,39.8,5.9,27.2,2.2,25.3,1.9
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BQ03,11 or more people,2018,1746,30.8,220170540,32.7,578385,29.7,49531615,44.1,13.5,4.3,16.5,8.3,13.4,4.4,14.9,5.3
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,1042,18.4,190535686,28.3,386954,19.8,25979723,23.2,12.7,8.2,21.6,13,13.7,8.6,13.9,13.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BY,Total reporting,2018,5661,100,672330193,100,1950423,100,112223185,100,6.5,0,9.5,0,6.8,0,8.3,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,652,Firms with 250 to 499 employees,B01,OWNRNUM,BZ,Item not reported,2018,1292,X,238879275,X,436022,X,34786383,X,12.6,X,16.1,X,11.6,X,13.9,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,A1,All firms,2018,20149,X,24343394355,X,69231676,X,4194750376,X,1.9,X,0.7,X,0.6,X,0.6,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BQ,1 person,2018,469,8.7,370348342,2.8,1155126,3.8,48720759,2.3,11.1,24,1.7,14.1,6.8,53.3,4.7,16.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BQ01,2 to 4 people,2018,508,9.4,172558174,1.3,633829,2.1,38069780,1.8,14.8,50.1,21.6,99.5,7.2,51.7,36.8,108.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BQ02,5 to 10 people,2018,130,2.4,52252914,0.4,181963,0.6,8912115,0.4,0.8,0,0,0,0.7,0,0.1,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BQ03,11 or more people,2018,1729,31.9,5376930797,41.3,11709318,38.7,841230100,40.5,3.5,5.1,0.2,18.6,0.6,17,0.3,23.9
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BX,Unknown number of owners,2018,2580,47.6,7035690171,54.1,16605743,54.8,1139813551,54.9,1.6,16.6,0.2,19.2,0.4,20,0.2,18.8
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BY,Total reporting,2018,5417,100,13007780398,100,30285978,100,2076746305,100,1.9,0,0.3,0,0.5,0,0.6,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,657,Firms with 500 employees or more,B01,OWNRNUM,BZ,Item not reported,2018,1811,X,2063192235,X,5665367,X,327440796,X,4.3,X,3.2,X,0.9,X,0.5,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,A1,All firms,2018,152923,X,50468809,X,0,X,9058297,X,1.4,X,6.3,X,0,X,4.3,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ,1 person,2018,41748,80.7,9309299,67.5,0,0,1832210,82.3,2.4,0.8,8,4.5,0,0,8.2,2.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,9487,18.3,4353146,31.6,0,0,386356,17.3,4.5,0.7,24.5,4.6,0,0,15.3,2.3
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,424,0.8,120199,0.9,0,0,8481,0.4,20.8,0.2,36.3,0.3,0,0,49.3,0.2
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BX,Unknown number of owners,2018,S,S,S,S,0 to 19 employees,S,S,S,S,S,S,S,S,S,S,S
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BY,Total reporting,2018,51760,100,13796113,100,0,0,2227407,100,2.2,0,12.1,0,0,0,7.8,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BZ,Item not reported,2018,1615,X,204353,X,0,X,21559,X,10.5,X,21,X,0,X,14.6,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,A1,All firms,2018,593464,X,206956293,X,1146253,X,40261977,X,1.2,X,2.2,X,1,X,2.6,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ,1 person,2018,254827,79.1,75819450,70.3,470119,76.1,16593293,73.6,0.8,0.4,3.1,0.7,1.2,0.5,2.5,0.4
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,63993,19.9,29608323,27.4,140481,22.7,5599176,24.8,2.1,0.4,2.3,0.6,2.3,0.5,2.4,0.4
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,2112,0.7,1736423,1.6,4206,0.7,211454,0.9,8.8,0.1,19.9,0.3,8.7,0.1,13.2,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BQ03,11 or more people,2018,465,0.1,303439,0.3,1035,0.2,67301,0.3,30.5,0,27.9,0.1,27.7,0,32.3,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BX,Unknown number of owners,2018,870,0.3,425873,0.4,1998,0.3,81314,0.4,11.6,0,25.9,0.1,8.8,0,18.7,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BY,Total reporting,2018,322266,100,107893508,100,617839,100,22552537,100,0.6,0,2.6,0,0.9,0,2.3,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,BZ,Item not reported,2018,10986,X,3107077,X,21887,X,626709,X,4,X,10,X,5.4,X,6,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,A1,All firms,2018,190325,X,172858913,X,1258633,X,43157329,X,1.2,X,3.5,X,1.2,X,2.2,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,2,Female,1,Total,0,Total,1,Total,620,Firms with 5 to 9 employees,B01,OWNRNUM,BQ,1 person,2018,67668,65.3,50507387,55.6,442360,64.4,14032297,59,1.1,0.7,2.4,1.5,1.2,0.7,1.9,1.1
