"GEO_ID","GEO_ID_F","NAME","NAICS2017","NAICS2017_F","NAICS2017_LABEL","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","EMPSZFI","EMPSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","611","Firms with no employees","2019","450798","200198772","0","32440927","1.1","4.1","0.0","3.3"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","1724155","838381183","3429436","152502173","0.5","1.6","0.8","1.7"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","581306","770585296","3831292","169834385","1.4","2.2","1.5","1.5"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","369755","980187676","4985473","230773204","1.4","3.2","1.4","2.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","247584","1642832706","7456450","356361275","1.5","3.9","1.6","3.0"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","76993","1477406370","5256118","267251032","1.6","5.3","2.1","2.3"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","40067","1976424282","6015516","335770016","3.8","7.6","3.9","4.6"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","10602","1242169852","3616931","199669977","7.8","11.1","7.8","7.1"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2019","7008","2701705746","10974696","504174707","3.2","4.1","1.8","1.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","611","Firms with no employees","2019","113112","44015421","0","8164129","3.3","10.0","0.0","5.6"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","414362","179974224","852850","30529173","1.3","2.8","1.4","2.5"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","147765","158247515","977118","33896032","1.6","2.3","1.5","3.0"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","92532","175403006","1242201","41956375","1.7","3.8","1.8","2.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","57405","269205973","1699717","58244690","3.3","7.1","3.5","3.6"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","13810","163731511","941572","35866265","6.0","10.6","5.6","7.0"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","5274","153446648","767441","31214269","6.8","13.8","7.9","9.5"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","1541","121371725","528243","22416104","15.3","23.0","14.6","16.0"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2019","629","144079792","873009","31024139","10.5","12.7","4.0","3.5"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2019","45073","16488583","0","2715068","3.3","7.9","0.0","5.7"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","185194","76334051","365479","12408451","1.9","4.4","2.3","3.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","54867","54527584","361406","12235471","3.4","5.0","3.6","4.8"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","33887","63341266","455250","15968166","4.1","5.8","3.8","4.5"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","20269","84634717","605189","21893780","3.1","9.0","3.3","5.8"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","4845","54632818","325410","12067904","13.9","17.4","15.7","12.6"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","1882","48346403","273814","11240838","15.2","14.4","15.0","23.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","500","22502494","167066","6754511","39.5","31.1","39.0","37.1"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","319","42472208","376934","13071535","20.4","9.3","10.7","9.3"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2019","10906","3299555","0","551752","11.7","12.1","0.0","15.6"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","49356","16863217","94629","3066727","4.0","6.4","3.1","6.0"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","15146","13452122","100223","3088492","8.6","15.5","8.6","12.2"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","7766","10729891","103285","3247403","7.8","15.4","8.8","10.5"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","4720","16309422","138971","4302773","14.2","18.9","15.5","15.5"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","409","8172862","59205","2189025","38.6","46.6","35.8","37.9"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","91","11748800","95506","3154382","53.8","33.6","32.3","37.4"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2019","29451","11091260","0","1903080","2.5","9.0","0.0","6.3"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","115121","50504159","228337","8061000","2.9","5.6","3.3","3.3"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","33371","35696819","219225","7924906","4.3","5.7","4.5","6.1"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","21273","45101116","287929","10891084","7.0","7.2","6.8","6.8"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","12851","59644421","386860","15384198","3.2","8.2","4.4","6.8"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","3073","37097562","209661","8706508","19.7","19.7","20.3","17.1"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","1216","34463754","178819","7406421","24.9","20.9","24.4","31.0"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","289","17854371","96396","4722810","49.3","36.6","47.1","47.9"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","212","29772245","266105","9525825","23.0","2.8","11.2","4.9"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2019","4719","2097768","0","260237","6.7","38.8","0.0","21.0"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","20718","8966675","42512","1280723","6.9","15.1","7.8","10.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","6350","5378643","41958","1222074","7.7","13.3","9.7","10.2"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","4847","7510259","64036","1829679","8.3","16.5","7.6","13.8"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","2698","8680875","79359","2206809","11.1","21.2","11.3","14.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","18","951163","15323","391328","9.2","0.2","0.0","0.5"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","7139","3529106","0","1667430","7.3","36.8","0.0","7.7"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","25053","11475564","51686","1924868","4.6","6.3","5.5","8.9"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","8528","7540181","55939","2080668","13.7","14.1","14.0","16.3"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","5535","9656515","75977","2700102","9.6","17.4","8.8","10.6"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","3402","12882040","99710","3422578","10.0","25.3","11.0","17.1"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","801","9056806","55008","1880026","30.9","42.1","29.3","34.2"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","336","10173280","53678","2695640","34.0","31.4","34.5","35.3"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","70","6855500","68280","1778771","69.9","21.3","37.9","26.1"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","S","S","0 to 19 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","1036","310711","2330","91972","23.3","35.5","21.4","42.0"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","328","263890","4260","93756","45.8","44.4","42.0","44.4"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","D","D","100 to 249 employees","D","D","D","D","D"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","1485","617124","0","95046","15.1","13.1","0.0","16.7"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","4645","2353342","9792","411720","10.8","13.3","15.9","17.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","2006","2273881","13493","588755","17.7","22.2","18.3","19.1"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","1107","2935079","15447","675763","32.3","33.8","32.3","27.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","640","2880578","19227","863273","21.6","42.9","22.8","33.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","13","1990691","17388","526639","12.8","0.2","2.0","0.7"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","5461","2776318","0","1564141","8.7","46.8","0.0","8.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","19372","8811511","39564","1421176","6.7","10.8","8.2","12.7"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","6172","5084090","40367","1427821","14.0","13.1","14.7","16.4"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","4100","6457546","56270","1930583","8.7","18.0","9.1","11.8"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","2610","9500035","76721","2376606","12.0","27.9","12.6","19.9"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","237","5765316","38511","1552893","48.5","46.7","49.0","56.8"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","58","4864809","50892","1252132","84.4","30.1","50.9","37.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","670596","271659732","0","44985469","0.8","3.9","0.0","2.9"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","2557088","1153276562","5086490","213585019","0.4","1.2","0.5","1.3"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","865944","1046045558","5709194","234237178","1.0","1.6","0.9","1.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","543017","1300769385","7306929","311167482","1.0","2.5","1.0","1.4"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","352900","2116222640","10571847","466498498","1.5","2.9","1.4","1.9"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","103189","1812158932","7031220","337900188","1.3","3.8","1.3","2.2"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","50819","2260955696","7593119","401730886","2.9","6.1","2.9","3.8"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","13375","1444737746","4564732","238853202","6.0","10.7","6.0","6.1"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","029","Non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","8422","3100271656","12962414","583848348","2.4","3.4","1.5","1.1"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","147800","44028009","0","8202917","1.3","4.5","0.0","2.4"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","578425","205556841","1124410","41728293","1.1","2.1","1.3","1.7"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","184774","165646180","1215828","41670317","1.9","4.0","2.0","3.3"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","112061","207182703","1502936","53765012","2.4","4.6","2.8","4.2"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","66710","284889870","1977847","72723419","4.6","7.6","4.1","3.8"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","16790","221986148","1132079","46337069","5.7","15.3","4.9","7.0"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","7286","181426072","1078328","46491358","6.7","12.2","7.0","9.7"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","1608","106459468","549835","23028253","12.6","16.9","11.3","9.6"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","029","Non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","1086","292065026","1464417","60345426","7.4","3.4","3.2","3.8"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","419862","188490388","0","30442801","1.2","4.4","0.0","3.7"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","1604389","785523682","3191306","144029453","0.5","1.7","0.7","1.7"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","545929","732614596","3598574","161320724","1.4","2.2","1.5","1.5"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","347374","932151481","4682097","219206357","1.6","3.3","1.5","2.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","234095","1580307707","7050364","340113804","1.6","4.0","1.7","3.1"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","73650","1436340682","5026299","257862715","1.4","5.1","1.7","2.3"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","38751","1937558080","5821653","327223544","3.7","7.9","3.8","4.7"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","10276","1218473328","3504166","194106765","7.0","11.4","7.2","7.2"
"0100000US","null","United States","00","null","Total for all sectors","003","Male","029","Non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2019","6783","2669942809","10691203","494122242","2.9","4.1","1.8","1.3"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2019","102934","39141335","0","6339751","3.4","12.0","0.0","8.0"
"0100000US","null","United States","00","null","Total for all sectors","004","Equally male/female","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","374273","162196039","770774","27827273","1.4","3.1","1.5","3.0"
